0.0	Book Cover
（詩 19:14）	耶和華－我的磐石，我的救贖主啊， 願我口中的言語、心裏的意念在你面前蒙悅納。
0.4.{5}	Pray Faith Affirmations
（詩 33:21）	我們的心必靠他歡喜， 因為我們向來倚靠他的聖名。
0.5.0	Why Scripture Promises Are So Important for Our Prayers
（創 31:2）	雅各見拉班的氣色向他不如從前了。
（創 32:12）	你曾說：『我必定厚待你，使你的後裔如同海邊的沙，多得不可勝數。』」
（創 32:9）	雅各說：「耶和華－我祖亞伯拉罕的上帝，我父親以撒的上帝啊，你曾對我說：『回你本地本族去，我要厚待你。』
（林後 1:20）	上帝的應許，不論有多少，在基督都是是的。所以藉着他也都是實在〔註：實在：原文是阿們〕的，叫上帝因我們得榮耀。
（林後 6:1）	我們與〔上帝〕同工的，也勸你們不可徒受他的恩典。
（林後 6:16）	上帝的殿和偶像有甚麼相同呢？因為我們是永生上帝的殿，就如上帝曾說： 我要在他們中間居住， 在他們中間來往； 我要作他們的上帝； 他們要作我的子民。
（利 26:12）	我要在你們中間行走；我要作你們的上帝，你們要作我的子民。
（出 32:27）	他對他們說：「耶和華－以色列的上帝這樣說：『你們各人把刀跨在腰間，在營中往來，從這門到那門，各人殺他的弟兄與同伴並鄰舍。』」
（賽 52:11）	你們離開吧！離開吧！ 從巴比倫出來。 不要沾不潔淨的物； 要從其中出來。 你們扛抬耶和華器皿的人哪， 務要自潔。
（林後 7:1）	親愛的〔弟兄〕啊，我們既有這等應許，就當潔淨自己，除去身體、靈魂一切的污穢，敬畏上帝，得以成聖。
（加 3:16）	所應許的原是向亞伯拉罕和他子孫說的。上帝並不是說「眾子孫」，指着許多人，乃是說「你那一個子孫」，指着一個人，就是基督。
（加 3:29）	你們既屬乎基督，就是亞伯拉罕的後裔，是照着應許承受產業的了。
0.6.0	Four Important Truths
0.6.1	Promises will only and always mean what they mean in their context and with the intent with which they were written.
（太 4:5-7）	魔鬼就帶他進了聖城，叫他站在殿頂〔註：頂：原文是翅〕上，對他說：「你若是上帝的兒子，可以跳下去，因為〔經上〕記着說： 主要為你吩咐他的使者 用手托着你， 免得你的腳碰在石頭上。」耶穌對他說：「〔經上〕又記着說：『不可試探主－你的上帝。』」
0.6.2	Promises sometimes have a multiple fulfillment in the past, present and future.
（珥 2:29-32）	在那些日子， 我要將我的靈澆灌我的僕人和使女。「在天上地下，我要顯出奇事，有血，有火，有煙柱。日頭要變為黑暗，月亮要變為血，這都在耶和華大而可畏的日子未到以前。到那時候，凡求告耶和華名的就必得救；因為照耶和華所說的，在錫安山，耶路撒冷必有逃脫的人，在剩下的人中必有耶和華所召的。」
（徒 2:15）	你們想這些人是醉了；其實不是醉了，因為時候剛到巳初。
（啟 6:12）	揭開第六印的時候，我又看見地大震動，日頭變黑像毛布，滿月變〔紅〕像血，
（賽 7:10-16）	耶和華又曉諭亞哈斯說：「你向耶和華－你的上帝求一個兆頭：或求〔顯〕在深處，或求〔顯〕在高處。」亞哈斯說：「我不求；我不試探耶和華。」以賽亞說：「大衛家啊，你們當聽！你們使人厭煩豈算小事，還要使我的上帝厭煩嗎？因此，主自己要給你們一個兆頭，必有童女懷孕生子，給他起名叫以馬內利〔註：就是上帝與我們同在的意思〕。到他曉得棄惡擇善的時候，他必吃奶油與蜂蜜。因為在這孩子還不曉得棄惡擇善之先，你所憎惡的那二王之地必致見棄。
（太 1:21-23）	她將要生一個兒子，你要給他起名叫耶穌，因他要將自己的百姓從罪惡裏救出來。」這一切的事成就是要應驗主藉先知所說的話，說： 必有童女懷孕生子； 人要稱他的名為以馬內利。 （以馬內利翻出來就是「上帝與我們同在」。）
0.6.3	Promises that are conditional always require fulfillment of the condition before the promise is granted.
（詩 50:14-15）	你們要以感謝為祭獻與上帝， 又要向至高者還你的願，並要在患難之日求告我； 我必搭救你，你也要榮耀我。
（太 6:33）	你們要先求他的國和他的義，這些東西都要加給你們了。
0.6.4	Promises that are granted are sometimes delayed for many years.
（詩 69:13）	但我在悅納的時候向你－耶和華祈禱。 上帝啊，求你按你豐盛的慈愛， 憑你拯救的誠實應允我！
（來 6:15）	這樣，亞伯拉罕既恆久忍耐，就得了所應許的。
0.7.0	Living Before the Face of God
（詩 89:15-16）	知道〔向你〕歡呼的，那民是有福的！ 耶和華啊，他們在你臉上的光裏行走。他們因你的名終日歡樂， 因你的公義得以高舉。
（加 5:25）	我們若是靠〔聖〕靈得生，就當靠〔聖〕靈行事。
0.7.{6}.1	Presenting Ourselves to God
（彼前 2:23）	他被罵不還口；受害不說威嚇的話，只將自己交託那按公義審判人的〔主〕。
（彼前 2:21）	你們蒙召原是為此；因基督也為你們受過苦，給你們留下榜樣，叫你們跟隨他的腳蹤行。
（彼前 4:19）	所以，那照上帝旨意受苦的人要一心為善，將自己靈魂交與那信實的造化之主。
（詩 31:5）	我將我的靈魂交在你手裏； 耶和華誠實的上帝啊，你救贖了我。
（路 23:46）	耶穌大聲喊着說：「父啊！我將我的靈魂交在你手裏。」說了這話，氣就斷了。
0.7.{6}.2	Scriptures on Presenting Ourselves to God
（詩 16:8）	我將耶和華常擺在我面前， 因他在我右邊，我便不致搖動。
（詩 25:15）	我的眼目時常仰望耶和華， 因為他必將我的腳從網裏拉出來。
（詩 26:3）	因為你的慈愛常在我眼前， 我也按你的真理而行。
（詩 62:5）	我的心哪，你當默默無聲，專等候上帝， 因為我的盼望是從他〔而來〕。
（詩 141:8）	主－耶和華啊，我的眼目仰望你； 我投靠你，求你不要將我撇得孤苦！
（詩 73:28）	但我親近上帝是與我有益； 我以主耶和華為我的避難所， 好叫我述說你一切的作為。
（詩 123:1-2）	坐在天上的〔主〕啊， 我向你舉目。看哪，僕人的眼睛怎樣望主人的手， 使女的眼睛怎樣望主母的手， 我們的眼睛也照樣望耶和華－我們的上帝， 直到他憐憫我們。
（西 3:23）	無論做甚麼，都要從心裏做，像是給主做的，不是給人做的，
（詩 37:5）	當將你的事交託耶和華， 並倚靠他，他就必成全。
（詩 26:1）	耶和華啊，求你為我伸冤， 因我向來行事純全； 我又倚靠耶和華，並不搖動。
（詩 119:55）	耶和華啊，我夜間記念你的名， 遵守你的律法。
（詩 31:5）	我將我的靈魂交在你手裏； 耶和華誠實的上帝啊，你救贖了我。
（伯 5:8）	至於我，我必仰望上帝， 把我的事情託付他。
（賽 26:8-9）	耶和華啊，我們在你行審判的路上等候你； 我們心裏所羨慕的是你的名， 就是你那可記念的〔名〕。夜間，我心中羨慕你； 我裏面的靈切切尋求你。 因為你在世上行審判的時候， 地上的居民就學習公義。
（詩 39:7）	主啊，如今我等甚麼呢？ 我的指望在乎你！
（詩 71:14）	我卻要常常盼望， 並要越發讚美你。
（羅 6:13）	也不要將你們的肢體獻給罪作不義的器具；倒要像從死裏復活的人，將自己獻給上帝，並將肢體作義的器具獻給上帝。
（羅 12:1）	所以，弟兄們，我以上帝的慈悲勸你們，將身體獻上，當作活祭，是聖潔的，是上帝所喜悅的；你們如此事奉乃是理所當然的。
（彼前 2:23）	他被罵不還口；受害不說威嚇的話，只將自己交託那按公義審判人的〔主〕。
（彼前 4:19）	所以，那照上帝旨意受苦的人要一心為善，將自己靈魂交與那信實的造化之主。
（詩 90:1）	主啊，你世世代代作我們的居所。
0.7.{7}.1	Accepting Everything from God
（帖前 5:17-18）	不住地禱告，凡事謝恩；因為這是上帝在基督耶穌裏向你們所定的旨意。
（林前 7:17）	只要照主所分給各人的，和上帝所召各人的而行。我吩咐各教會都是這樣。
（來 10:5-7）	所以基督到世上來的時候，就說： 〔上帝啊〕，祭物和禮物是你不願意的； 你曾給我預備了身體。燔祭和贖罪〔祭〕是你不喜歡的。那時我說：上帝啊，我來了， 為要照你的旨意行； 我的事在經卷上已經記載了。
（太 26:39）	他就稍往前走，俯伏在地，禱告說：「我父啊，倘若可行，求你叫這杯離開我。然而，不要照我的意思，只要照你的意思。」
（太 26:42）	第二次又去禱告說：「我父啊，這杯若不能離開我，必要我喝，就願你的意旨成全。」
（腓 4:11-13）	我並不是因缺乏說這話；我無論在甚麼景況都可以知足，這是我已經學會了。我知道怎樣處卑賤，也知道怎樣處豐富；或飽足，或飢餓；或有餘，或缺乏，隨事隨在，我都得了秘訣。我靠着那加給我力量的，凡事都能做。
（羅 8:28-29）	我們曉得萬事都互相效力，叫愛上帝的人得益處，就是按他旨意被召的人。因為他預先所知道的人，就預先定下效法他兒子的模樣，使他兒子在許多弟兄中作長子。
0.7.{7}.2	Scriptures on Accepting Everything From God
（詩 57:1-2）	上帝啊，求你憐憫我，憐憫我！ 因為我的心投靠你。 我要投靠在你翅膀的蔭下， 等到災害過去。我要求告至高的上帝， 就是為我成全〔諸事〕的上帝。
（林前 7:17）	只要照主所分給各人的，和上帝所召各人的而行。我吩咐各教會都是這樣。
（伯 23:14）	他向我所定的，就必做成； 這類的事他還有許多。
（腓 4:11-13）	我並不是因缺乏說這話；我無論在甚麼景況都可以知足，這是我已經學會了。我知道怎樣處卑賤，也知道怎樣處豐富；或飽足，或飢餓；或有餘，或缺乏，隨事隨在，我都得了秘訣。我靠着那加給我力量的，凡事都能做。
（伯 23:8-10）	只是，我往前行，他不〔在那裏〕， 往後退，也不能見他。他在左邊行事，我卻不能看見， 在右邊隱藏，我也不能見他。然而他知道我所行的路； 他試煉我之後，我必如精金。
（詩 77:19）	你的道在海中； 你的路在大水中； 你的腳蹤無人知道。
（耶 10:23）	耶和華啊，我曉得人的道路不由自己， 行路的人也不能定自己的腳步。
（傳 5:19）	上帝賜人資財豐富，使他能以吃用，能取自己的分，在他勞碌中喜樂，這乃是上帝的恩賜。
（詩 16:5-6）	耶和華是我的產業， 是我杯中的分； 我所得的，你為我持守。用繩量給我的地界，坐落在佳美之處； 我的產業實在美好。
（帖前 5:17-18）	不住地禱告，凡事謝恩；因為這是上帝在基督耶穌裏向你們所定的旨意。
（約 12:27-28）	「我現在心裏憂愁，我說甚麼才好呢？父啊，救我脫離這時候；但我原是為這時候來的。父啊，願你榮耀你的名！」當時就有聲音從天上來，說：「我已經榮耀了我的名，還要再榮耀。」
（可 14:36）	他說：「阿爸！父啊！在你凡事都能；求你將這杯撤去。然而，不要從我的意思，只要從你的意思。」
（羅 8:28-29）	我們曉得萬事都互相效力，叫愛上帝的人得益處，就是按他旨意被召的人。因為他預先所知道的人，就預先定下效法他兒子的模樣，使他兒子在許多弟兄中作長子。
（太 26:42）	第二次又去禱告說：「我父啊，這杯若不能離開我，必要我喝，就願你的意旨成全。」
（伯 1:21）	說：「我赤身出於母胎，也必赤身歸回；賞賜的是耶和華，收取的也是耶和華。耶和華的名是應當稱頌的。」
（約 21:22）	耶穌對他說：「我若要他等到我來的時候，與你何干？你跟從我吧！」
（詩 31:15）	我終身的事在你手中； 求你救我脫離仇敵的手和那些逼迫我的人。
（徒 21:14）	保羅既不聽勸，我們便住了口，只說：「願主的旨意成就」，便了。
1.0	Using Scripture to Prepare to Pray
1.1.0	Developing the Motivation for Prayer: The Glory of God
（詩 115:3）	然而，我們的上帝在天上， 都隨自己的意旨行事。
（亞 14:9）	耶和華必作全地的王。那日耶和華必為獨一無二的，他的名也是獨一無二的。
（哀 2:17）	耶和華成就了他所定的， 應驗了他古時所命定的。 他傾覆了，並不顧惜， 使你的仇敵向你誇耀； 使你敵人的角也被高舉。
（賽 66:18）	「〔我知道〕他們的行為和他們的意念。〔時候〕將到，我必將萬民萬族〔註：族：原文是舌〕聚來，看見我的榮耀，
（賽 48:11）	我為自己的緣故必行這事， 我焉能使〔我的名〕被褻瀆？ 我必不將我的榮耀歸給假神。
（林前 8:6）	然而我們只有一位上帝，就是父－萬物都本於他；我們也歸於他－並有一位主，就是耶穌基督－萬物都是藉着他有的；我們也是藉着他有的。
（西 1:16）	因為萬有都是靠他造的，無論是天上的，地上的；能看見的，不能看見的；或是有位的，主治的，執政的，掌權的；一概都是藉着他造的，又是為他造的。
（來 2:10）	原來那為萬物所屬、為萬物所本的，要領許多的兒子進榮耀裏去，使救他們的元帥，因受苦難得以完全，本是合宜的。
（羅 11:36）	因為萬有都是本於他， 倚靠他，歸於他。 願榮耀歸給他，直到永遠。阿們！
1.1.{1}	Praying for God’s Honor and Glory
（書 7:9）	迦南人和這地一切的居民聽見了就必圍困我們，將我們的名從地上除滅。那時你為你的大名要怎樣行呢？」
（王上 8:41-43）	「論到不屬你民以色列的外邦人，為你名從遠方而來，（他們聽人論說你的大名和大能的手，並伸出來的膀臂）向這殿禱告，求你在天上你的居所垂聽，照着外邦人所祈求的而行，使天下萬民都認識你的名，敬畏你像你的民以色列一樣；又使他們知道我建造的這殿是稱為你名下的。
（王上 8:59-60）	我在耶和華面前祈求的這些話，願耶和華－我們的上帝晝夜垂念，每日為他僕人與他民以色列伸冤，使地上的萬民都知道惟獨耶和華是上帝，並無別神。
（王上 18:36-37）	到了獻〔晚〕祭的時候，先知以利亞近前來，說：「亞伯拉罕、以撒、以色列的上帝，耶和華啊，求你今日使人知道你是以色列的上帝，也知道我是你的僕人，又是奉你的命行這一切事。耶和華啊，求你應允我，應允我！使這民知道你－耶和華是上帝，又知道是你叫這民的心回轉。」
（王下 19:15-16）	希西家向耶和華禱告說：「坐在二基路伯上耶和華－以色列的上帝啊，你是天下萬國的上帝，你曾創造天地。耶和華啊，求你側耳而聽！耶和華啊，求你睜眼而看！要聽西拿基立打發使者來辱罵永生上帝的話。
（王下 19:19）	耶和華－我們的上帝啊，現在求你救我們脫離亞述王的手，使天下萬國都知道惟獨你－耶和華是上帝！」
（詩 71:8）	你的讚美，你的榮耀 終日必滿了我的口。
（詩 106:47）	耶和華－我們的上帝啊，求你拯救我們， 從外邦中招聚我們， 我們好稱讚你的聖名， 以讚美你為誇勝。
（詩 79:9）	拯救我們的上帝啊，求你因你名的榮耀幫助我們！ 為你名的緣故搭救我們，赦免我們的罪。
（詩 74:18）	耶和華啊，仇敵辱罵， 愚頑民褻瀆了你的名，求你記念這事。
（詩 74:20）	求你顧念所立的約， 因為地上黑暗之處都滿了強暴的居所。
（詩 74:22）	上帝啊，求你起來為自己伸訴！ 要記念愚頑人怎樣終日辱罵你。
（詩 83:16）	願你使他們滿面羞恥， 好叫他們尋求你－耶和華的名！
（詩 83:17-18）	願他們永遠羞愧驚惶！ 願他們慚愧滅亡！使他們知道：惟獨你－ 名為耶和華的－是全地以上的至高者！
（詩 109:27）	使他們知道這是你的手， 是你－耶和華所行的事。
（耶 14:20-21）	耶和華啊，我們承認自己的罪惡， 和我們列祖的罪孽， 因我們得罪了你。求你為你名的緣故， 不厭惡我們， 不辱沒你榮耀的寶座。 求你追念， 不要背了與我們所立的約。
（約 17:24）	父啊，我在哪裏，願你所賜給我的人也同我在那裏，叫他們看見你所賜給我的榮耀；因為創立世界以前，你已經愛我了。
1.1.{5}	Faith Affirmations
（約 12:27-28）	「我現在心裏憂愁，我說甚麼才好呢？父啊，救我脫離這時候；但我原是為這時候來的。父啊，願你榮耀你的名！」當時就有聲音從天上來，說：「我已經榮耀了我的名，還要再榮耀。」
（詩 86:9）	主啊，你所造的萬民都要來敬拜你； 他們也要榮耀你的名。
（詩 135:13）	耶和華啊，你的名存到永遠！ 耶和華啊，你可記念的名存到萬代！
（賽 26:8）	耶和華啊，我們在你行審判的路上等候你； 我們心裏所羨慕的是你的名， 就是你那可記念的〔名〕。
1.2.0	Building Faith By Meditation on God’s Faithfulness
（可 12:24）	耶穌說：「你們所以錯了，豈不是因為不明白聖經，不曉得上帝的大能嗎？
（申 7:9）	所以，你要知道耶和華－你的上帝，他是上帝，是信實的上帝；向愛他、守他誡命的人守約，施慈愛，直到千代；
（書 23:14）	「我現在要走世人必走的路。你們是一心一意地知道，耶和華－你們上帝所應許賜福與你們的話沒有一句落空，都應驗在你們身上了。
（尼 9:8）	你見他在你面前心裏誠實，就與他立約，應許把迦南人、赫人、亞摩利人、比利洗人、耶布斯人、革迦撒人之地賜給他的後裔，且應驗了你的話，因為你是公義的。
（多 1:9）	堅守所教真實的道理，就能將純正的教訓勸化人，又能把爭辯的人駁倒了。
（撒下 22:31）	至於上帝，他的道是完全的； 耶和華的話是煉淨的。 凡投靠他的，他便作他們的盾牌。
（詩 19:7）	耶和華的律法全備，能甦醒人心； 耶和華的法度確定，能使愚人有智慧。
（多 1:2）	盼望那無謊言的上帝在萬古之先所應許的永生，
（約 10:35）	經上的話是不能廢的；若那些承受上帝道的人尚且稱為神，
（啟 22:6）	天使又對我說：「這些話是真實可信的。主就是眾先知被感之靈的上帝，差遣他的使者，將那必要快成的事指示他僕人。」
（太 24:35）	天地要廢去，我的話卻不能廢去。」
（彼後 1:19）	我們並有先知更確的預言，如同燈照在暗處。你們在這預言上留意，直等到天發亮，晨星在你們心裏出現的時候，才是好的。
（箴 30:5）	上帝的言語句句都是煉淨的； 投靠他的，他便作他們的盾牌。
（提後 2:13）	我們縱然失信，他仍是可信的， 因為他不能背乎自己。
（詩 93:5）	耶和華啊，你的法度最的確； 你的殿永稱為聖，是合宜的。
（來 6:17-19）	照樣，上帝願意為那承受應許的人格外顯明他的旨意是不更改的，就起誓為證。藉這兩件不更改的事，上帝決不能說謊，好叫我們這逃往避難所、持定擺在我們前頭指望的人可以大得勉勵。我們有這指望，如同靈魂的錨，又堅固又牢靠，且通入幔內。
（帖前 5:24）	那召你們的本是信實的，他必成就這事。
（來 10:23）	也要堅守我們所承認的指望，不致搖動，因為那應許我們的是信實的。
（撒下 7:28）	「主耶和華啊，惟有你是上帝。你的話是真實的；你也應許將這福氣賜給僕人。
（申 32:4）	他是磐石，他的作為完全； 他所行的無不公平， 是誠實無偽的上帝， 又公義，又正直。
（詩 145:13）	你的國是永遠的國！ 你執掌的權柄存到萬代！
（詩 111:7）	他手所行的是誠實公平； 他的訓詞都是確實的，
（賽 49:7）	救贖主－以色列的聖者耶和華 對那被人所藐視、本國所憎惡、 官長所虐待的如此說： 君王要看見就站起， 首領也要下拜； 都因信實的耶和華， 就是揀選你－以色列的聖者。
（林前 1:9）	上帝是信實的，你們原是被他所召，好與他兒子－我們的主耶穌基督一同得分。
（帖後 3:3）	但主是信實的，要堅固你們，保護你們脫離那惡者〔註：或譯：脫離凶惡〕。
（王上 8:15）	所羅門說：「耶和華－以色列的上帝是應當稱頌的！因他親口向我父大衛所應許的，也親手成就了。
1.2.{3}	Promises to Those Who Trust God
（詩 9:10）	耶和華啊，認識你名的人要倚靠你， 因你沒有離棄尋求你的人。
（耶 17:7-8）	倚靠耶和華、以耶和華為可靠的， 那人有福了！他必像樹栽於水旁， 在河邊扎根， 炎熱來到，並不懼怕， 葉子仍必青翠， 在乾旱之年毫無掛慮， 而且結果不止。
（鴻 1:7）	耶和華本為善， 在患難的日子為人的保障， 並且認得那些投靠他的人。
（來 10:35）	所以，你們不可丟棄勇敢的心；存這樣的心必得大賞賜。
（太 8:13）	耶穌對百夫長說：「你回去吧！照你的信心，給你成全了。」那時，他的僕人就好了。
（徒 10:43）	眾先知也為他作見證說：『凡信他的人必因他的名得蒙赦罪。』」
（徒 13:39）	你們靠摩西的律法，在一切不得稱義的事上信靠這人，就都得稱義了。
（羅 10:4）	律法的總結就是基督，使凡信他的都得着義。
（羅 1:16）	我不以福音為恥；這福音本是上帝的大能，要救一切相信的，先是猶太人，後是希臘人。
（約 12:44）	耶穌大聲說：「信我的，不是信我，乃是信那差我來的。
（約 11:26）	凡活着信我的人必永遠不死。你信這話嗎？」
（約 1:12）	凡接待他的，就是信他名的人，他就賜他們權柄作上帝的兒女。
（約 3:16）	「上帝愛世人，甚至將他的獨生子賜給〔他們〕，叫一切信他的，不致滅亡，反得永生。
（徒 16:31）	他們說：「當信主耶穌，你和你一家都必得救。」
（羅 3:21-22）	但如今，上帝的義在律法以外已經顯明出來，有律法和先知為證：就是上帝的義，因信耶穌基督加給一切相信的人，並沒有分別。
（羅 4:5）	惟有不做工的，只信稱罪人為義的上帝，他的信就算為義。
（詩 34:22）	耶和華救贖他僕人的靈魂； 凡投靠他的，必不致定罪。
（羅 10:11）	經上說：「凡信他的人必不至於羞愧。」
（羅 10:9）	你若口裏認耶穌為主，心裏信上帝叫他從死裏復活，就必得救。
（林前 1:21）	世人憑自己的智慧，既不認識上帝，上帝就樂意用〔人所當作〕愚拙的道理拯救那些信的人；這就是上帝的智慧了。
（提後 1:12）	為這緣故，我也受這些苦難。然而我不以為恥；因為知道我所信的是誰，也深信他能保全我所交付他的〔註：或譯：他所交託我的〕，直到那日。
（來 3:14）	我們若將起初確實的信心堅持到底，就在基督裏有分了。
（約一 5:1）	凡信耶穌是基督的，都是從上帝而生，凡愛生他之上帝的，也必愛從上帝生的。
（約一 5:13）	我將這些話寫給你們信奉上帝兒子之名的人，要叫你們知道自己有永生。
（約 6:35）	耶穌說：「我就是生命的糧。到我這裏來的，必定不餓；信我的，永遠不渴。
（約 7:38-39）	信我的人就如經上所說：『從他腹中要流出活水的江河來。』」耶穌這話是指着信他之人要受〔聖〕靈說的。那時還沒有〔賜下聖〕靈〔來〕，因為耶穌尚未得着榮耀。
（約 14:12）	我實實在在地告訴你們，我所做的事，信我的人也要做，並且要做比這更大的事，因為我往父那裏去。
（弗 1:19）	並〔知道〕他向我們這信的人所顯的能力是何等浩大，
（來 4:16）	所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
（可 11:24）	所以我告訴你們，凡你們禱告祈求的，無論是甚麼，只要信是得着的，就必得着。
（約一 3:21-22）	親愛的〔弟兄〕啊，我們的心若不責備我們，就可以向上帝坦然無懼了。並且我們一切所求的，就從他得着；因為我們遵守他的命令，行他所喜悅的事。
（約一 5:14）	我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。
（太 17:20）	耶穌說：「是因你們的信心小。我實在告訴你們，你們若有信心，像一粒芥菜種，就是對這座山說：『你從這邊挪到那邊』，它也必挪去；並且你們沒有一件不能做的事了。
（來 11:6）	人非有信，就不能得上帝的喜悅；因為到上帝面前來的人必須信有上帝，且信他賞賜那尋求他的人。
（可 9:23）	耶穌對他說：「你若能〔信〕，在信的人，凡事都能。」
（詩 37:5-6）	當將你的事交託耶和華， 並倚靠他，他就必成全。他要使你的公義如光發出， 使你的公平明如正午。
（詩 125:1）	倚靠耶和華的人 好像錫安山，永不動搖。
（賽 30:15）	主耶和華－以色列的聖者曾如此說： 你們得救在乎歸回安息； 你們得力在乎平靜安穩； 你們竟自不肯。
（箴 3:5-6）	你要專心仰賴耶和華， 不可倚靠自己的聰明，在你一切所行的事上都要認定他， 他必指引你的路。
（約 12:46）	我到世上來，乃是光，叫凡信我的，不住在黑暗裏。
（約 16:27）	父自己愛你們；因為你們已經愛我，又信我是從父出來的。
（約一 5:5）	勝過世界的是誰呢？不是那信耶穌是上帝兒子的嗎？
（詩 31:19）	敬畏你、投靠你的人，你為他們所積存的， 在世人面前所施行的恩惠是何等大呢！
（弗 6:16）	此外，又拿着信德當作盾牌，可以滅盡那惡者一切的火箭；
（箴 3:26）	因為耶和華是你所倚靠的； 他必保守你的腳不陷入網羅。
（詩 37:40）	耶和華幫助他們，解救他們； 他解救他們脫離惡人，把他們救出來， 因為他們投靠他。
（詩 18:30）	至於上帝，他的道是完全的； 耶和華的話是煉淨的。 凡投靠他的，他便作他們的盾牌。
（彼前 1:5）	你們這因信蒙上帝能力保守的人，必能得着所預備、到末世要顯現的救恩。
（詩 5:11）	凡投靠你的，願他們喜樂，時常歡呼， 因為你護庇他們； 又願那愛你名的人都靠你歡欣。
1.2.{4}	Prayers for Faith
（路 17:5）	使徒對主說：「〔求主〕加增我們的信心。」
（可 9:24）	孩子的父親立時喊着說〔註：有古卷：立時流淚地喊着說〕：「我信！但我信不足，求主幫助。」
（路 22:32）	但我已經為你祈求，叫你不至於失了信心。你回頭以後，要堅固你的弟兄。」
1.2.{5}	Faith Affirmations
（徒 15:11）	我們得救乃是因主耶穌的恩，和他們一樣，這是我們所信的。」
（王上 8:23-24）	「耶和華－以色列的上帝啊，天上地下沒有神可比你的！你向那盡心行在你面前的僕人守約施慈愛；向你僕人－我父大衛所應許的話現在應驗了。你親口應許，親手成就，正如今日一樣。
（詩 31:14）	耶和華啊，我仍舊倚靠你； 我說：你是我的上帝。
（賽 25:1）	耶和華啊，你是我的上帝； 我要尊崇你，我要稱讚你的名。 因為你以忠信誠實行過奇妙的事， 成就你古時所定的。
（詩 33:21）	我們的心必靠他歡喜， 因為我們向來倚靠他的聖名。
（詩 55:23）	上帝啊，你必使惡人下入滅亡的坑； 流人血、行詭詐的人必活不到半世， 但我要倚靠你。
（詩 26:1）	耶和華啊，求你為我伸冤， 因我向來行事純全； 我又倚靠耶和華，並不搖動。
（詩 31:5）	我將我的靈魂交在你手裏； 耶和華誠實的上帝啊，你救贖了我。
（路 1:38）	馬利亞說：「我是主的使女，情願照你的話成就在我身上。」天使就離開她去了。
（詩 89:1）	我要歌唱耶和華的慈愛，直到永遠； 我要用口將你的信實傳與萬代。
2.0	Using Scripture to Praise God
2.1.0	Beholding the Glory of Christ
（林後 3:18）	我們眾人既然敞着臉得以看見主的榮光，好像從鏡子裏返照，就變成主的形狀，榮上加榮，如同從主的靈變成的。
（賽 33:17）	你的眼必見王的榮美， 必見遼闊之地。
（來 1:3）	他是上帝榮耀所發的光輝，是上帝本體的真像，常用他權能的命令托住萬有。他洗淨了人的罪，就坐在高天至大者的右邊。
（伯 16:19）	現今，在天有我的見證， 在上有我的中保。
（詩 45:7）	你喜愛公義，恨惡罪惡； 所以上帝－就是你的上帝－用喜樂油膏你， 勝過膏你的同伴。
