（赛 64:7）	并且无人求告你的名； 无人奋力抓住你。 原来你掩面不顾我们， 使我们因罪孽消化。
（赛 7:10-16）	耶和华又晓谕亚哈斯说：「你向耶和华－你的上帝求一个兆头：或求〔显〕在深处，或求〔显〕在高处。」亚哈斯说：「我不求；我不试探耶和华。」以赛亚说：「大卫家啊，你们当听！你们使人厌烦岂算小事，还要使我的上帝厌烦吗？因此，主自己要给你们一个兆头，必有童女怀孕生子，给他起名叫以马内利〔注：就是上帝与我们同在的意思〕。到他晓得弃恶择善的时候，他必吃奶油与蜂蜜。因为在这孩子还不晓得弃恶择善之先，你所憎恶的那二王之地必致见弃。
（太 1:21-23）	她将要生一个儿子，你要给他起名叫耶稣，因他要将自己的百姓从罪恶里救出来。」这一切的事成就是要应验主藉先知所说的话，说： 必有童女怀孕生子； 人要称他的名为以马内利。 （以马内利翻出来就是「上帝与我们同在」。）
（诗 50:14-15）	你们要以感谢为祭献与上帝， 又要向至高者还你的愿，并要在患难之日求告我； 我必搭救你，你也要荣耀我。
（太 6:33）	你们要先求他的国和他的义，这些东西都要加给你们了。
（诗 69:13）	但我在悦纳的时候向你－耶和华祈祷。 上帝啊，求你按你丰盛的慈爱， 凭你拯救的诚实应允我！
（来 6:15）	这样，亚伯拉罕既恒久忍耐，就得了所应许的。
（诗 89:15-16）	知道〔向你〕欢呼的，那民是有福的！ 耶和华啊，他们在你脸上的光里行走。他们因你的名终日欢乐， 因你的公义得以高举。
（加 5:25）	我们若是靠〔圣〕灵得生，就当靠〔圣〕灵行事。
（彼前 2:23）	他被骂不还口；受害不说威吓的话，只将自己交讬那按公义审判人的〔主〕。
（彼前 2:21）	你们蒙召原是为此；因基督也为你们受过苦，给你们留下榜样，叫你们跟随他的脚踪行。
（彼前 4:19）	所以，那照上帝旨意受苦的人要一心为善，将自己灵魂交与那信实的造化之主。
（诗 31:5）	我将我的灵魂交在你手里； 耶和华诚实的上帝啊，你救赎了我。
（路 23:46）	耶稣大声喊着说：「父啊！我将我的灵魂交在你手里。」说了这话，气就断了。
（诗 16:8）	我将耶和华常摆在我面前， 因他在我右边，我便不致摇动。
（诗 25:15）	我的眼目时常仰望耶和华， 因为他必将我的脚从网里拉出来。
（诗 26:3）	因为你的慈爱常在我眼前， 我也按你的真理而行。
（诗 62:5）	我的心哪，你当默默无声，专等候上帝， 因为我的盼望是从他〔而来〕。
（诗 141:8）	主－耶和华啊，我的眼目仰望你； 我投靠你，求你不要将我撇得孤苦！
（诗 73:28）	但我亲近上帝是与我有益； 我以主耶和华为我的避难所， 好叫我述说你一切的作为。
（诗 123:1-2）	坐在天上的〔主〕啊， 我向你举目。看哪，仆人的眼睛怎样望主人的手， 使女的眼睛怎样望主母的手， 我们的眼睛也照样望耶和华－我们的上帝， 直到他怜悯我们。
（西 3:23）	无论做什么，都要从心里做，像是给主做的，不是给人做的，
（诗 37:5）	当将你的事交讬耶和华， 并倚靠他，他就必成全。
（诗 26:1）	耶和华啊，求你为我伸冤， 因我向来行事纯全； 我又倚靠耶和华，并不摇动。
（诗 119:55）	耶和华啊，我夜间记念你的名， 遵守你的律法。
（诗 31:5）	我将我的灵魂交在你手里； 耶和华诚实的上帝啊，你救赎了我。
（伯 5:8）	至于我，我必仰望上帝， 把我的事情托付他。
（赛 26:8-9）	耶和华啊，我们在你行审判的路上等候你； 我们心里所羨慕的是你的名， 就是你那可记念的〔名〕。夜间，我心中羨慕你； 我里面的灵切切寻求你。 因为你在世上行审判的时候， 地上的居民就学习公义。
（诗 39:7）	主啊，如今我等什么呢？ 我的指望在乎你！
（诗 71:14）	我却要常常盼望， 并要越发赞美你。
（罗 6:13）	也不要将你们的肢体献给罪作不义的器具；倒要像从死里复活的人，将自己献给上帝，并将肢体作义的器具献给上帝。
（罗 12:1）	所以，弟兄们，我以上帝的慈悲劝你们，将身体献上，当作活祭，是圣洁的，是上帝所喜悦的；你们如此事奉乃是理所当然的。
（彼前 2:23）	他被骂不还口；受害不说威吓的话，只将自己交讬那按公义审判人的〔主〕。
（彼前 4:19）	所以，那照上帝旨意受苦的人要一心为善，将自己灵魂交与那信实的造化之主。
（诗 90:1）	主啊，你世世代代作我们的居所。
（帖前 5:17-18）	不住地祷告，凡事谢恩；因为这是上帝在基督耶稣里向你们所定的旨意。
（林前 7:17）	只要照主所分给各人的，和上帝所召各人的而行。我吩咐各教会都是这样。
（来 10:5-7）	所以基督到世上来的时候，就说： 〔上帝啊〕，祭物和礼物是你不愿意的； 你曾给我预备了身体。燔祭和赎罪〔祭〕是你不喜欢的。那时我说：上帝啊，我来了， 为要照你的旨意行； 我的事在经卷上已经记载了。
（太 26:39）	他就稍往前走，俯伏在地，祷告说：「我父啊，倘若可行，求你叫这杯离开我。然而，不要照我的意思，只要照你的意思。」
（太 26:42）	第二次又去祷告说：「我父啊，这杯若不能离开我，必要我喝，就愿你的意旨成全。」
（腓 4:11-13）	我并不是因缺乏说这话；我无论在什么景况都可以知足，这是我已经学会了。我知道怎样处卑贱，也知道怎样处丰富；或饱足，或饥饿；或有余，或缺乏，随事随在，我都得了秘诀。我靠着那加给我力量的，凡事都能做。
（罗 8:28-29）	我们晓得万事都互相效力，叫爱上帝的人得益处，就是按他旨意被召的人。因为他预先所知道的人，就预先定下效法他儿子的模样，使他儿子在许多弟兄中作长子。
（诗 57:1-2）	上帝啊，求你怜悯我，怜悯我！ 因为我的心投靠你。 我要投靠在你翅膀的荫下， 等到灾害过去。我要求告至高的上帝， 就是为我成全〔诸事〕的上帝。
（林前 7:17）	只要照主所分给各人的，和上帝所召各人的而行。我吩咐各教会都是这样。
（伯 23:14）	他向我所定的，就必做成； 这类的事他还有许多。
（腓 4:11-13）	我并不是因缺乏说这话；我无论在什么景况都可以知足，这是我已经学会了。我知道怎样处卑贱，也知道怎样处丰富；或饱足，或饥饿；或有余，或缺乏，随事随在，我都得了秘诀。我靠着那加给我力量的，凡事都能做。
（伯 23:8-10）	只是，我往前行，他不〔在那里〕， 往后退，也不能见他。他在左边行事，我却不能看见， 在右边隐藏，我也不能见他。然而他知道我所行的路； 他试炼我之后，我必如精金。
（诗 77:19）	你的道在海中； 你的路在大水中； 你的脚踪无人知道。
（耶 10:23）	耶和华啊，我晓得人的道路不由自己， 行路的人也不能定自己的脚步。
（传 5:19）	上帝赐人资财丰富，使他能以吃用，能取自己的分，在他劳碌中喜乐，这乃是上帝的恩赐。
（诗 16:5-6）	耶和华是我的产业， 是我杯中的分； 我所得的，你为我持守。用绳量给我的地界，坐落在佳美之处； 我的产业实在美好。
（帖前 5:17-18）	不住地祷告，凡事谢恩；因为这是上帝在基督耶稣里向你们所定的旨意。
（约 12:27-28）	「我现在心里忧愁，我说什么才好呢？父啊，救我脱离这时候；但我原是为这时候来的。父啊，愿你荣耀你的名！」当时就有声音从天上来，说：「我已经荣耀了我的名，还要再荣耀。」
（可 14:36）	他说：「阿爸！父啊！在你凡事都能；求你将这杯撤去。然而，不要从我的意思，只要从你的意思。」
（罗 8:28-29）	我们晓得万事都互相效力，叫爱上帝的人得益处，就是按他旨意被召的人。因为他预先所知道的人，就预先定下效法他儿子的模样，使他儿子在许多弟兄中作长子。
（太 26:42）	第二次又去祷告说：「我父啊，这杯若不能离开我，必要我喝，就愿你的意旨成全。」
（伯 1:21）	说：「我赤身出于母胎，也必赤身归回；赏赐的是耶和华，收取的也是耶和华。耶和华的名是应当称颂的。」
（约 21:22）	耶稣对他说：「我若要他等到我来的时候，与你何干？你跟从我吧！」
（诗 31:15）	我终身的事在你手中； 求你救我脱离仇敌的手和那些逼迫我的人。
（徒 21:14）	保罗既不听劝，我们便住了口，只说：「愿主的旨意成就」，便了。
（诗 115:3）	然而，我们的上帝在天上， 都随自己的意旨行事。
（亚 14:9）	耶和华必作全地的王。那日耶和华必为独一无二的，他的名也是独一无二的。
（哀 2:17）	耶和华成就了他所定的， 应验了他古时所命定的。 他倾覆了，并不顾惜， 使你的仇敌向你夸耀； 使你敌人的角也被高举。
（赛 66:18）	「〔我知道〕他们的行为和他们的意念。〔时候〕将到，我必将万民万族〔注：族：原文是舌〕聚来，看见我的荣耀，
（赛 48:11）	我为自己的缘故必行这事， 我焉能使〔我的名〕被亵渎？ 我必不将我的荣耀归给假神。
（林前 8:6）	然而我们只有一位上帝，就是父－万物都本于他；我们也归于他－并有一位主，就是耶稣基督－万物都是藉着他有的；我们也是藉着他有的。
（西 1:16）	因为万有都是靠他造的，无论是天上的，地上的；能看见的，不能看见的；或是有位的，主治的，执政的，掌权的；一概都是藉着他造的，又是为他造的。
（来 2:10）	原来那为万物所属、为万物所本的，要领许多的儿子进荣耀里去，使救他们的元帅，因受苦难得以完全，本是合宜的。
（罗 11:36）	因为万有都是本于他， 倚靠他，归于他。 愿荣耀归给他，直到永远。阿们！
（书 7:9）	迦南人和这地一切的居民听见了就必围困我们，将我们的名从地上除灭。那时你为你的大名要怎样行呢？」
（王上 8:41-43）	「论到不属你民以色列的外邦人，为你名从远方而来，（他们听人论说你的大名和大能的手，并伸出来的膀臂）向这殿祷告，求你在天上你的居所垂听，照着外邦人所祈求的而行，使天下万民都认识你的名，敬畏你像你的民以色列一样；又使他们知道我建造的这殿是称为你名下的。
（王上 8:59-60）	我在耶和华面前祈求的这些话，愿耶和华－我们的上帝昼夜垂念，每日为他仆人与他民以色列伸冤，使地上的万民都知道惟独耶和华是上帝，并无别神。
（王上 18:36-37）	到了献〔晚〕祭的时候，先知以利亚近前来，说：「亚伯拉罕、以撒、以色列的上帝，耶和华啊，求你今日使人知道你是以色列的上帝，也知道我是你的仆人，又是奉你的命行这一切事。耶和华啊，求你应允我，应允我！使这民知道你－耶和华是上帝，又知道是你叫这民的心回转。」
（王下 19:15-16）	希西家向耶和华祷告说：「坐在二基路伯上耶和华－以色列的上帝啊，你是天下万国的上帝，你曾创造天地。耶和华啊，求你侧耳而听！耶和华啊，求你睁眼而看！要听西拿基立打发使者来辱骂永生上帝的话。
（王下 19:19）	耶和华－我们的上帝啊，现在求你救我们脱离亚述王的手，使天下万国都知道惟独你－耶和华是上帝！」
（诗 71:8）	你的赞美，你的荣耀 终日必满了我的口。
（诗 106:47）	耶和华－我们的上帝啊，求你拯救我们， 从外邦中招聚我们， 我们好称赞你的圣名， 以赞美你为夸胜。
（诗 79:9）	拯救我们的上帝啊，求你因你名的荣耀帮助我们！ 为你名的缘故搭救我们，赦免我们的罪。
（诗 74:18）	耶和华啊，仇敌辱骂， 愚顽民亵渎了你的名，求你记念这事。
（诗 74:20）	求你顾念所立的约， 因为地上黑暗之处都满了强暴的居所。
（诗 74:22）	上帝啊，求你起来为自己伸诉！ 要记念愚顽人怎样终日辱骂你。
（诗 83:16）	愿你使他们满面羞耻， 好叫他们寻求你－耶和华的名！
（诗 83:17-18）	愿他们永远羞愧惊惶！ 愿他们惭愧灭亡！使他们知道：惟独你－ 名为耶和华的－是全地以上的至高者！
（诗 109:27）	使他们知道这是你的手， 是你－耶和华所行的事。
（耶 14:20-21）	耶和华啊，我们承认自己的罪恶， 和我们列祖的罪孽， 因我们得罪了你。求你为你名的缘故， 不厌恶我们， 不辱没你荣耀的宝座。 求你追念， 不要背了与我们所立的约。
（约 17:24）	父啊，我在哪里，愿你所赐给我的人也同我在那里，叫他们看见你所赐给我的荣耀；因为创立世界以前，你已经爱我了。
（约 12:27-28）	「我现在心里忧愁，我说什么才好呢？父啊，救我脱离这时候；但我原是为这时候来的。父啊，愿你荣耀你的名！」当时就有声音从天上来，说：「我已经荣耀了我的名，还要再荣耀。」
（诗 86:9）	主啊，你所造的万民都要来敬拜你； 他们也要荣耀你的名。
（诗 135:13）	耶和华啊，你的名存到永远！ 耶和华啊，你可记念的名存到万代！
（赛 26:8）	耶和华啊，我们在你行审判的路上等候你； 我们心里所羨慕的是你的名， 就是你那可记念的〔名〕。
（可 12:24）	耶稣说：「你们所以错了，岂不是因为不明白圣经，不晓得上帝的大能吗？
（申 7:9）	所以，你要知道耶和华－你的上帝，他是上帝，是信实的上帝；向爱他、守他诫命的人守约，施慈爱，直到千代；
（书 23:14）	「我现在要走世人必走的路。你们是一心一意地知道，耶和华－你们上帝所应许赐福与你们的话没有一句落空，都应验在你们身上了。
（尼 9:8）	你见他在你面前心里诚实，就与他立约，应许把迦南人、赫人、亚摩利人、比利洗人、耶布斯人、革迦撒人之地赐给他的后裔，且应验了你的话，因为你是公义的。
（多 1:9）	坚守所教真实的道理，就能将纯正的教训劝化人，又能把争辩的人驳倒了。
（撒下 22:31）	至于上帝，他的道是完全的； 耶和华的话是炼净的。 凡投靠他的，他便作他们的盾牌。
（诗 19:7）	耶和华的律法全备，能苏醒人心； 耶和华的法度确定，能使愚人有智慧。
（多 1:2）	盼望那无谎言的上帝在万古之先所应许的永生，
（约 10:35）	经上的话是不能废的；若那些承受上帝道的人尚且称为神，
（启 22:6）	天使又对我说：「这些话是真实可信的。主就是众先知被感之灵的上帝，差遣他的使者，将那必要快成的事指示他仆人。」
（太 24:35）	天地要废去，我的话却不能废去。」
（彼后 1:19）	我们并有先知更确的预言，如同灯照在暗处。你们在这预言上留意，直等到天发亮，晨星在你们心里出现的时候，才是好的。
（箴 30:5）	上帝的言语句句都是炼净的； 投靠他的，他便作他们的盾牌。
（提后 2:13）	我们纵然失信，他仍是可信的， 因为他不能背乎自己。
（诗 93:5）	耶和华啊，你的法度最的确； 你的殿永称为圣，是合宜的。
（来 6:17-19）	照样，上帝愿意为那承受应许的人格外显明他的旨意是不更改的，就起誓为证。藉这两件不更改的事，上帝决不能说谎，好叫我们这逃往避难所、持定摆在我们前头指望的人可以大得勉励。我们有这指望，如同灵魂的锚，又坚固又牢靠，且通入幔内。
（帖前 5:24）	那召你们的本是信实的，他必成就这事。
（来 10:23）	也要坚守我们所承认的指望，不致摇动，因为那应许我们的是信实的。
（撒下 7:28）	「主耶和华啊，惟有你是上帝。你的话是真实的；你也应许将这福气赐给仆人。
（申 32:4）	他是磐石，他的作为完全； 他所行的无不公平， 是诚实无伪的上帝， 又公义，又正直。
（诗 145:13）	你的国是永远的国！ 你执掌的权柄存到万代！
（诗 111:7）	他手所行的是诚实公平； 他的训词都是确实的，
（赛 49:7）	救赎主－以色列的圣者耶和华 对那被人所藐视、本国所憎恶、 官长所虐待的如此说： 君王要看见就站起， 首领也要下拜； 都因信实的耶和华， 就是拣选你－以色列的圣者。
（林前 1:9）	上帝是信实的，你们原是被他所召，好与他儿子－我们的主耶稣基督一同得分。
（帖后 3:3）	但主是信实的，要坚固你们，保护你们脱离那恶者〔注：或译：脱离凶恶〕。
（王上 8:15）	所罗门说：「耶和华－以色列的上帝是应当称颂的！因他亲口向我父大卫所应许的，也亲手成就了。
（诗 9:10）	耶和华啊，认识你名的人要倚靠你， 因你没有离弃寻求你的人。
（耶 17:7-8）	倚靠耶和华、以耶和华为可靠的， 那人有福了！他必像树栽于水旁， 在河边扎根， 炎热来到，并不惧怕， 叶子仍必青翠， 在干旱之年毫无挂虑， 而且结果不止。
（鸿 1:7）	耶和华本为善， 在患难的日子为人的保障， 并且认得那些投靠他的人。
（来 10:35）	所以，你们不可丢弃勇敢的心；存这样的心必得大赏赐。
（太 8:13）	耶稣对百夫长说：「你回去吧！照你的信心，给你成全了。」那时，他的仆人就好了。
（徒 10:43）	众先知也为他作见证说：『凡信他的人必因他的名得蒙赦罪。』」
（徒 13:39）	你们靠摩西的律法，在一切不得称义的事上信靠这人，就都得称义了。
（罗 10:4）	律法的总结就是基督，使凡信他的都得着义。
（罗 1:16）	我不以福音为耻；这福音本是上帝的大能，要救一切相信的，先是犹太人，后是希腊人。
（约 12:44）	耶稣大声说：「信我的，不是信我，乃是信那差我来的。
（约 11:26）	凡活着信我的人必永远不死。你信这话吗？」
（约 1:12）	凡接待他的，就是信他名的人，他就赐他们权柄作上帝的儿女。
（约 3:16）	「上帝爱世人，甚至将他的独生子赐给〔他们〕，叫一切信他的，不致灭亡，反得永生。
（徒 16:31）	他们说：「当信主耶稣，你和你一家都必得救。」
（罗 3:21-22）	但如今，上帝的义在律法以外已经显明出来，有律法和先知为证：就是上帝的义，因信耶稣基督加给一切相信的人，并没有分别。
（罗 4:5）	惟有不做工的，只信称罪人为义的上帝，他的信就算为义。
（诗 34:22）	耶和华救赎他仆人的灵魂； 凡投靠他的，必不致定罪。
（罗 10:11）	经上说：「凡信他的人必不至于羞愧。」
（罗 10:9）	你若口里认耶稣为主，心里信上帝叫他从死里复活，就必得救。
（林前 1:21）	世人凭自己的智慧，既不认识上帝，上帝就乐意用〔人所当作〕愚拙的道理拯救那些信的人；这就是上帝的智慧了。
（提后 1:12）	为这缘故，我也受这些苦难。然而我不以为耻；因为知道我所信的是谁，也深信他能保全我所交付他的〔注：或译：他所交讬我的〕，直到那日。
（来 3:14）	我们若将起初确实的信心坚持到底，就在基督里有分了。
（约一 5:1）	凡信耶稣是基督的，都是从上帝而生，凡爱生他之上帝的，也必爱从上帝生的。
（约一 5:13）	我将这些话写给你们信奉上帝儿子之名的人，要叫你们知道自己有永生。
（约 6:35）	耶稣说：「我就是生命的粮。到我这里来的，必定不饿；信我的，永远不渴。
（约 7:38-39）	信我的人就如经上所说：『从他腹中要流出活水的江河来。』」耶稣这话是指着信他之人要受〔圣〕灵说的。那时还没有〔赐下圣〕灵〔来〕，因为耶稣尚未得着荣耀。
（约 14:12）	我实实在在地告诉你们，我所做的事，信我的人也要做，并且要做比这更大的事，因为我往父那里去。
（弗 1:19）	并〔知道〕他向我们这信的人所显的能力是何等浩大，
（来 4:16）	所以，我们只管坦然无惧地来到施恩的宝座前，为要得怜恤，蒙恩惠，作随时的帮助。
（可 11:24）	所以我告诉你们，凡你们祷告祈求的，无论是什么，只要信是得着的，就必得着。
（约一 3:21-22）	亲爱的〔弟兄〕啊，我们的心若不责备我们，就可以向上帝坦然无惧了。并且我们一切所求的，就从他得着；因为我们遵守他的命令，行他所喜悦的事。
（约一 5:14）	我们若照他的旨意求什么，他就听我们，这是我们向他所存坦然无惧的心。
（太 17:20）	耶稣说：「是因你们的信心小。我实在告诉你们，你们若有信心，像一粒芥菜种，就是对这座山说：『你从这边挪到那边』，它也必挪去；并且你们没有一件不能做的事了。
（来 11:6）	人非有信，就不能得上帝的喜悦；因为到上帝面前来的人必须信有上帝，且信他赏赐那寻求他的人。
（可 9:23）	耶稣对他说：「你若能〔信〕，在信的人，凡事都能。」
（诗 37:5-6）	当将你的事交讬耶和华， 并倚靠他，他就必成全。他要使你的公义如光发出， 使你的公平明如正午。
（诗 125:1）	倚靠耶和华的人 好像锡安山，永不动摇。
（赛 30:15）	主耶和华－以色列的圣者曾如此说： 你们得救在乎归回安息； 你们得力在乎平静安稳； 你们竟自不肯。
（箴 3:5-6）	你要专心仰赖耶和华， 不可倚靠自己的聪明，在你一切所行的事上都要认定他， 他必指引你的路。
（约 12:46）	我到世上来，乃是光，叫凡信我的，不住在黑暗里。
（约 16:27）	父自己爱你们；因为你们已经爱我，又信我是从父出来的。
（约一 5:5）	胜过世界的是谁呢？不是那信耶稣是上帝儿子的吗？
（诗 31:19）	敬畏你、投靠你的人，你为他们所积存的， 在世人面前所施行的恩惠是何等大呢！
（弗 6:16）	此外，又拿着信德当作盾牌，可以灭尽那恶者一切的火箭；
（箴 3:26）	因为耶和华是你所倚靠的； 他必保守你的脚不陷入网罗。
（诗 37:40）	耶和华帮助他们，解救他们； 他解救他们脱离恶人，把他们救出来， 因为他们投靠他。
（诗 18:30）	至于上帝，他的道是完全的； 耶和华的话是炼净的。 凡投靠他的，他便作他们的盾牌。
（彼前 1:5）	你们这因信蒙上帝能力保守的人，必能得着所预备、到末世要显现的救恩。
（诗 5:11）	凡投靠你的，愿他们喜乐，时常欢呼， 因为你护庇他们； 又愿那爱你名的人都靠你欢欣。
（路 17:5）	使徒对主说：「〔求主〕加增我们的信心。」
（可 9:24）	孩子的父亲立时喊着说〔注：有古卷：立时流泪地喊着说〕：「我信！但我信不足，求主帮助。」
（路 22:32）	但我已经为你祈求，叫你不至于失了信心。你回头以后，要坚固你的弟兄。」
（徒 15:11）	我们得救乃是因主耶稣的恩，和他们一样，这是我们所信的。」
（王上 8:23-24）	「耶和华－以色列的上帝啊，天上地下没有神可比你的！你向那尽心行在你面前的仆人守约施慈爱；向你仆人－我父大卫所应许的话现在应验了。你亲口应许，亲手成就，正如今日一样。
（诗 31:14）	耶和华啊，我仍旧倚靠你； 我说：你是我的上帝。
（赛 25:1）	耶和华啊，你是我的上帝； 我要尊崇你，我要称赞你的名。 因为你以忠信诚实行过奇妙的事， 成就你古时所定的。
（诗 33:21）	我们的心必靠他欢喜， 因为我们向来倚靠他的圣名。
（诗 55:23）	上帝啊，你必使恶人下入灭亡的坑； 流人血、行诡诈的人必活不到半世， 但我要倚靠你。
（诗 26:1）	耶和华啊，求你为我伸冤， 因我向来行事纯全； 我又倚靠耶和华，并不摇动。
（诗 31:5）	我将我的灵魂交在你手里； 耶和华诚实的上帝啊，你救赎了我。
（路 1:38）	马利亚说：「我是主的使女，情愿照你的话成就在我身上。」天使就离开她去了。
（诗 89:1）	我要歌唱耶和华的慈爱，直到永远； 我要用口将你的信实传与万代。
（林后 3:18）	我们众人既然敞着脸得以看见主的荣光，好像从镜子里返照，就变成主的形状，荣上加荣，如同从主的灵变成的。
（赛 33:17）	你的眼必见王的荣美， 必见辽阔之地。
（来 1:3）	他是上帝荣耀所发的光辉，是上帝本体的真像，常用他权能的命令托住万有。他洗净了人的罪，就坐在高天至大者的右边。
（伯 16:19）	现今，在天有我的见证， 在上有我的中保。
（诗 45:7）	你喜爱公义，恨恶罪恶； 所以上帝－就是你的上帝－用喜乐油膏你， 胜过膏你的同伴。
（诗 89:27-29）	我也要立他为长子， 为世上最高的君王。我要为他存留我的慈爱，直到永远； 我与他立的约必要坚定。我也要使他的后裔存到永远， 使他的宝座如天之久。
（诗 110:1-2）	耶和华对我主说： 你坐在我的右边， 等我使你仇敌作你的脚凳。耶和华必使你从锡安伸出能力的杖来； 你要在你仇敌中掌权。
（诗 132:17-18）	我要叫大卫的角在那里发生； 我为我的受膏者预备明灯。我要使他的仇敌披上羞耻； 但他的冠冕要在头上发光。
（赛 9:6-7）	因有一婴孩为我们而生； 有一子赐给我们。 政权必担在他的肩头上； 他名称为「奇妙策士、全能的上帝、永在的父、和平的君」。他的政权与平安必加增无穷。 他必在大卫的宝座上治理他的国， 以公平公义使国坚定稳固， 从今直到永远。 万军之耶和华的热心必成就这事。
（赛 11:2-4）	耶和华的灵必住在他身上， 就是使他有智慧和聪明的灵， 谋略和能力的灵， 知识和敬畏耶和华的灵。他必以敬畏耶和华为乐； 行审判不凭眼见， 断是非也不凭耳闻；却要以公义审判贫穷人， 以正直判断世上的谦卑人， 以口中的杖击打世界， 以嘴里的气杀戮恶人。
（赛 11:10-11）	到那日，耶西的根立作万民的大旗；外邦人必寻求他，他安息之所大有荣耀。当那日，主必二次伸手救回自己百姓中所余剩的，就是在亚述、埃及、巴忒罗、古实、以拦、示拿、哈马，并众海岛所剩下的。
（赛 22:22）	我必将大卫家的钥匙放在他肩头上。他开，无人能关；他关，无人能开。
（赛 42:1-4）	看哪，我的仆人－ 我所扶持所拣选、心里所喜悦的！ 我已将我的灵赐给他； 他必将公理传给外邦。他不喧嚷，不扬声， 也不使街上听见他的声音。压伤的芦苇，他不折断； 将残的灯火，他不吹灭。 他凭真实将公理传开。他不灰心，也不丧胆， 直到他在地上设立公理； 海岛都等候他的训诲。
